City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tasiilaq,65.6145,-37.6368,28.56,74,100,14.83,GL,1675617179
84,samarai,-10.6167,150.6667,79.52,85,100,15.05,PG,1675617179
85,gushi,34.6425,109.5843,39.97,51,9,3.29,CN,1675617180
86,esperance,-33.8667,121.9,68.74,67,29,21.45,AU,1675617180
87,nsanje,-16.92,35.262,80.31,74,88,3.42,MW,1675617180
88,tuktoyaktuk,69.4541,-133.0374,-39.1,100,46,4.34,CA,1675617181
89,missoula,47.0166,-113.8009,24.85,83,100,1.48,US,1675617033
90,atuona,-9.8,-139.0333,78.31,76,9,17.0,PF,1675617181
91,esso,55.9333,158.7,-3.59,84,86,4.25,RU,1675617182
92,saint-pierre,-21.3393,55.4781,82.08,69,0,2.3,RE,1675617183
93,iwanai,42.9744,140.5089,32.2,85,100,12.44,JP,1675617185
94,ilulissat,69.2167,-51.1,3.22,72,75,10.36,GL,1675617186
95,whitehorse,60.7161,-135.0538,1.81,75,85,3.0,CA,1675617189
96,bambous virieux,-20.3428,57.7575,80.22,80,76,12.46,MU,1675617192
97,sampit,-2.5333,112.95,74.17,97,100,2.62,ID,1675617193
98,kaeo,-35.1,173.7833,66.33,94,100,4.63,NZ,1675617194
99,broome,42.2506,-75.833,39.09,54,0,10.36,US,1675617198
100,saint george,37.1041,-113.5841,48.43,49,0,3.44,US,1675616919
101,los llanos de aridane,28.6585,-17.9182,64.15,66,20,10.36,ES,1675617200
102,waingapu,-9.6567,120.2641,76.73,89,100,7.54,ID,1675617202
103,copiapo,-27.3667,-70.3333,76.69,37,65,11.03,CL,1675616964
104,hami,42.8,93.45,30.02,38,13,1.5,CN,1675617204
105,khatanga,71.9667,102.5,-29.18,95,98,5.3,RU,1675617205
106,slantsy,59.1182,28.0914,23.47,82,100,10.42,RU,1675617206
107,bengkulu,-3.8004,102.2655,74.88,90,99,6.26,ID,1675617209
108,ancud,-41.8697,-73.8203,64.11,80,47,9.31,CL,1675617211
109,luau,-10.7073,22.2247,64.9,89,84,4.92,AO,1675617212
110,clyde river,70.4692,-68.5914,-16.11,87,100,4.0,CA,1675617212
111,dalby,-27.1833,151.2667,65.98,77,67,11.16,AU,1675617212
112,dehloran,32.6941,47.2679,57.18,45,41,7.87,IR,1675617213
113,college,64.8569,-147.8028,-14.91,76,40,0.0,US,1675617213
114,pisco,-13.7,-76.2167,75.25,83,40,10.36,PE,1675617214
115,nhulunbuy,-12.2333,136.7667,75.81,94,98,0.0,AU,1675617214
116,san patricio,28.017,-97.5169,75.07,71,0,3.94,US,1675617215
117,garissa,-0.4536,39.6401,89.04,27,78,6.8,KE,1675617215
118,port lincoln,-34.7333,135.8667,61.27,83,2,11.39,AU,1675617215
119,husavik,66.0449,-17.3389,45.52,79,100,23.85,IS,1675617216
120,ikornnes,62.3873,6.557,42.94,92,99,1.99,NO,1675617216
121,huanren,41.2647,125.3667,21.24,96,100,1.57,CN,1675617217
122,sakaiminato,35.55,133.2333,41.97,68,3,7.63,JP,1675617217
123,dukat,62.55,155.55,-35.55,100,91,4.79,RU,1675617217
124,stromness,58.965,-3.296,42.76,84,100,5.99,GB,1675617218
